Name,UrlFBref
Bukayo Saka,https://fbref.com/en/players/bc7dc64d/Bukayo-Saka
Erling Haaland,https://fbref.com/en/players/1f44ac21/Erling-Haaland
Kylian Mbappe,https://fbref.com/en/players/42fd9c7f/Kylian-Mbappe
Vinicius Junior,https://fbref.com/en/players/7111d552/Vinicius-Junior
Neymar,https://fbref.com/en/players/69384e5d/Neymar
Lionel Messi,https://fbref.com/en/players/d70ce98e/Lionel-Messi
Jude Bellingham,https://fbref.com/en/players/57d88cf9/Jude-Bellingham
Raheem Sterling,https://fbref.com/en/players/b400bde0/Raheem-Sterling
Lamine Yamal,https://fbref.com/en/players/82ec26c1/Lamine-Yamal
Phil Foden,https://fbref.com/en/players/ed1e53f3/Phil-Foden
Philippe Coutinho,https://fbref.com/en/players/0ef89a37/Philippe-Coutinho
Eden Hazard,https://fbref.com/en/players/a39bb753/Eden-Hazard
Harry Kane,https://fbref.com/en/players/21a66f6a/Harry-Kane
Sadio Mane,https://fbref.com/en/players/c691bfe2/Sadio-Mane
Kevin De Bruyne,https://fbref.com/en/players/e46012d4/Kevin-De-Bruyne
Antoine Griezmann,https://fbref.com/en/players/df69b544/Antoine-Griezmann
Mohamed Salah,https://fbref.com/en/players/e342ad68/Mohamed-Salah
Florian Wirtz,https://fbref.com/en/players/e7fcf289/Florian-Wirtz
Jamal Musiala,https://fbref.com/en/players/2c0558b8/Jamal-Musiala
Jadon Sancho,https://fbref.com/en/players/dbf053da/Jadon-Sancho
Rodri,https://fbref.com/en/players/6434f10d/Rodri
Cole Palmer,https://fbref.com/en/players/dc7f8a28/Cole-Palmer
Federico Valverde,https://fbref.com/en/players/0959c2a2/Federico-Valverde
Declan Rice,https://fbref.com/en/players/1c7012b8/Declan-Rice
Ousmane Dembele,https://fbref.com/en/players/b19db005/Ousmane-Dembele
Victor Osimhen,https://fbref.com/en/players/8c90fd7a/Victor-Osimhen
Cristiano Ronaldo,https://fbref.com/en/players/dea698d9/Cristiano-Ronaldo
Martin Odegaard,https://fbref.com/en/players/79300479/Martin-Odegaard
Paulo Dybala,https://fbref.com/en/players/e0921a4f/Paulo-Dybala
Rodrygo,https://fbref.com/en/players/8f5e92a6/Rodrygo
Trent Alexander Arnold,https://fbref.com/en/players/cd1acf9d/Trent-Alexander-Arnold
Lautaro Martinez,https://fbref.com/en/players/f7036e1c/Lautaro-Martinez
Jack Grealish,https://fbref.com/en/players/b0b4fd3e/Jack-Grealish
Aurelien Tchouameni,https://fbref.com/en/players/4f255115/Aurelien-Tchouameni
NGolo Kante,https://fbref.com/en/players/b9fbae28/NGolo-Kante
Leroy Sane,https://fbref.com/en/players/2b114be3/Leroy-Sane
Pedri,https://fbref.com/en/players/0d9b2d31/Pedri
Jan Oblak,https://fbref.com/en/players/ee8508c0/Jan-Oblak
Bernardo Silva,https://fbref.com/en/players/3eb22ec9/Bernardo-Silva
Joao Felix,https://fbref.com/en/players/8aafd64f/Joao-Felix
Paul Pogba,https://fbref.com/en/players/867239d3/Paul-Pogba
Eduardo Camavinga,https://fbref.com/en/players/7b9c2d84/Eduardo-Camavinga
Mauro Icardi,https://fbref.com/en/players/43b78598/Mauro-Icardi
Virgil van Dijk,https://fbref.com/en/players/e06683ca/Virgil-van-Dijk
Romelu Lukaku,https://fbref.com/en/players/5eae500a/Romelu-Lukaku
Christian Eriksen,https://fbref.com/en/players/980522ec/Christian-Eriksen
Dele Alli,https://fbref.com/en/players/cea4ee8f/Dele-Alli
Son Heung min,https://fbref.com/en/players/92e7e919/Son-Heung-min
Isco,https://fbref.com/en/players/a0b4bb3e/Isco
Marco Asensio,https://fbref.com/en/players/45af8a54/Marco-Asensio
Julian Alvarez,https://fbref.com/en/players/15ab5a2b/Julian-Alvarez
Serge Gnabry,https://fbref.com/en/players/88e357ef/Serge-Gnabry
Alisson,https://fbref.com/en/players/7a2e46a8/Alisson
Bruno Fernandes,https://fbref.com/en/players/507c7bdf/Bruno-Fernandes
Gavi Paez,https://fbref.com/en/players/19cae58d/Gavi-Paez
Gavi,https://fbref.com/en/players/19cae58d/Gavi
Frenkie de Jong,https://fbref.com/en/players/1bacc518/Frenkie-de-Jong
Rafael Leao,https://fbref.com/en/players/20730eae/Rafael-Leao
Robert Lewandowski,https://fbref.com/en/players/8d78e732/Robert-Lewandowski
Gareth Bale,https://fbref.com/en/players/a58bb1e1/Gareth-Bale
Joshua Kimmich,https://fbref.com/en/players/49296448/Joshua-Kimmich
Luis Suarez,https://fbref.com/en/players/a6154613/Luis-Suarez
Kai Havertz,https://fbref.com/en/players/fed7cb61/Kai-Havertz
Moises Caicedo,https://fbref.com/en/players/16264a81/Moises-Caicedo
Marc Andre ter Stegen,https://fbref.com/en/players/6f51e382/Marc-Andre-ter-Stegen
Saul Niguez,https://fbref.com/en/players/c14bc029/Saul-Niguez
Roberto Firmino,https://fbref.com/en/players/4c370d81/Roberto-Firmino
Sergej Milinkovic Savic,https://fbref.com/en/players/4e6dbac4/Sergej-Milinkovic-Savic
Gabriel Martinelli,https://fbref.com/en/players/48a5a5d6/Gabriel-Martinelli
Dusan Vlahovic,https://fbref.com/en/players/79443529/Dusan-Vlahovic
Khvicha Kvaratskhelia,https://fbref.com/en/players/dea88efd/Khvicha-Kvaratskhelia
Enzo Fernandez,https://fbref.com/en/players/5ff4ab71/Enzo-Fernandez
Marcus Rashford,https://fbref.com/en/players/a1d5bd30/Marcus-Rashford
Luis Diaz,https://fbref.com/en/players/4a1a9578/Luis-Diaz
Martinelli,https://fbref.com/en/players/48a5a5d6/Martinelli
Bruno Guimaraes,https://fbref.com/en/players/82518f62/Bruno-Guimaraes
Nicolo Barella,https://fbref.com/en/players/6928979a/Nicolo-Barella
Ruben Dias,https://fbref.com/en/players/31c69ef1/Ruben-Dias
William Saliba,https://fbref.com/en/players/972aeb2a/William-Saliba
Xavi Simons,https://fbref.com/en/players/da4d670f/Xavi-Simons
Christopher Nkunku,https://fbref.com/en/players/7c56da38/Christopher-Nkunku
Alphonso Davies,https://fbref.com/en/players/d781d855/Alphonso-Davies
Josko Gvardiol,https://fbref.com/en/players/5ad50391/Josko-Gvardiol
Sergio Busquets,https://fbref.com/en/players/5ab0ea87/Sergio-Busquets
Marcos Llorente,https://fbref.com/en/players/02c15616/Marcos-Llorente
Casemiro,https://fbref.com/en/players/4d224fe8/Casemiro
Timo Werner,https://fbref.com/en/players/49fe9070/Timo-Werner
James Rodriguez,https://fbref.com/en/players/715bf047/James-Rodriguez
Alexis Mac Allister,https://fbref.com/en/players/83d074ff/Alexis-Mac-Allister
Sergio Aguero,https://fbref.com/en/players/4d034881/Sergio-Aguero
Andrew Robertson,https://fbref.com/en/players/2e4f5f03/Andrew-Robertson
Raphael Varane,https://fbref.com/en/players/9f8e9423/Raphael-Varane
Gabriel Jesus,https://fbref.com/en/players/b66315ae/Gabriel-Jesus
Ansu Fati,https://fbref.com/en/players/0ba976e4/Ansu-Fati
Randal Kolo Muani,https://fbref.com/en/players/c0b3669f/Randal-Kolo-Muani
Toni Kroos,https://fbref.com/en/players/6ce1f46f/Toni-Kroos
Matthijs de Ligt,https://fbref.com/en/players/d6e53a3a/Matthijs-de-Ligt
Lorenzo Insigne,https://fbref.com/en/players/2f557579/Lorenzo-Insigne
Thibaut Courtois,https://fbref.com/en/players/1840e36d/Thibaut-Courtois
Dominik Szoboszlai,https://fbref.com/en/players/934e1968/Dominik-Szoboszlai
Gabriel Magalhaes,https://fbref.com/en/players/67ac5bb8/Gabriel-Magalhaes
Antony,https://fbref.com/en/players/99127249/Antony
Thomas Muller,https://fbref.com/en/players/3c6089ab/Thomas-Muller
Marco Verratti,https://fbref.com/en/players/1467af0d/Marco-Verratti
Marcus Thuram,https://fbref.com/en/players/6f8cd6d0/Marcus-Thuram
Mason Mount,https://fbref.com/en/players/9674002f/Mason-Mount
Aymeric Laporte,https://fbref.com/en/players/119b9a8e/Aymeric-Laporte
Pierre Emerick Aubameyang,https://fbref.com/en/players/d5dd5f1f/Pierre-Emerick-Aubameyang
Viktor Gyokeres,https://fbref.com/en/players/4d5a9185/Viktor-Gyokeres
Alexander Isak,https://fbref.com/en/players/8e92be30/Alexander-Isak
Alessandro Bastoni,https://fbref.com/en/players/75b86fb3/Alessandro-Bastoni
Kalidou Koulibaly,https://fbref.com/en/players/da974c7b/Kalidou-Koulibaly
Nicolas Pepe,https://fbref.com/en/players/57e3f0c7/Nicolas-Pepe
Marquinhos,https://fbref.com/en/players/d5f2f82b/Marquinhos
Gonzalo Higuain,https://fbref.com/en/players/8a08491a/Gonzalo-Higuain
Lucas Hernandez,https://fbref.com/en/players/c3ee18ef/Lucas-Hernandez
Darwin Nunez,https://fbref.com/en/players/4d77b365/Darwin-Nunez
Leon Goretzka,https://fbref.com/en/players/cc86b9a3/Leon-Goretzka
Fabinho,https://fbref.com/en/players/7f3b388c/Fabinho
Nico Williams,https://fbref.com/en/players/afdc14d7/Nico-Williams
Koke,https://fbref.com/en/players/55126f3b/Koke
